ID;Scope;Level 1;Level 2;Level 3;Level 4;Column Text;UOM;GHG/Unit;GHG Conversion Factor 2024;;;
1_100_1005_6_1;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;kWh (Gross CV);kgCO2e;0,18449;"call _emissionsRefInsert('Fuels','Gaseous fuels','Natural gas (100% mineral blend)','kWh (Gross CV)','kgCO2e','Scope 1','0,18449', '1_100_1005_6_1');";;
1_100_1005_6_2;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;kWh (Gross CV);kg CO2e of CO2 per unit;0,18412;"call _emissionsRefInsert('Gaseous fuels Natural gas (100% mineral blend)','Fuels','kWh (Gross CV)','1_100_1005_6_3');";;
1_100_1005_6_3;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;kWh (Gross CV);kg CO2e of CH4 per unit;0,00028;"call _emissionsRefInsert('Gaseous fuels Natural gas (100% mineral blend)','Fuels','kWh (Gross CV)','1_100_1005_6_4');";;
1_100_1005_6_4;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;kWh (Gross CV);kg CO2e of N2O per unit;0,00009;"call _emissionsRefInsert('Gaseous fuels Natural gas (100% mineral blend)','Fuels','tonnes','1_100_1006_15_1');";;
1_100_1006_15_1;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;tonnes;kgCO2e;2578,24647;"call _emissionsRefInsert('Fuels','Gaseous fuels','Other petroleum gas','tonnes','kgCO2e','Scope 1','2578,24647', '1_100_1006_15_1');";;
1_100_1006_15_2;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;tonnes;kg CO2e of CO2 per unit;2575,70000;"call _emissionsRefInsert('Gaseous fuels Other petroleum gas','Fuels','tonnes','1_100_1006_15_3');";;
1_100_1006_15_3;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;tonnes;kg CO2e of CH4 per unit;1,31040;"call _emissionsRefInsert('Gaseous fuels Other petroleum gas','Fuels','tonnes','1_100_1006_15_4');";;
1_100_1006_15_4;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;tonnes;kg CO2e of N2O per unit;1,23607;"call _emissionsRefInsert('Gaseous fuels Other petroleum gas','Fuels','litres','1_100_1006_8_1');";;
1_100_1006_8_1;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;litres;kgCO2e;0,94441;"call _emissionsRefInsert('Fuels','Gaseous fuels','Other petroleum gas','litres','kgCO2e','Scope 1','0,94441', '1_100_1006_8_1');";;
1_100_1006_8_2;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;litres;kg CO2e of CO2 per unit;0,94348;"call _emissionsRefInsert('Gaseous fuels Other petroleum gas','Fuels','litres','1_100_1006_8_3');";;
1_100_1006_8_3;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;litres;kg CO2e of CH4 per unit;0,00048;"call _emissionsRefInsert('Gaseous fuels Other petroleum gas','Fuels','litres','1_100_1006_8_4');";;
1_100_1006_8_4;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;litres;kg CO2e of N2O per unit;0,00045;"call _emissionsRefInsert('Gaseous fuels Other petroleum gas','Fuels','kWh (Net CV)','1_100_1006_7_1');";;
1_100_1006_7_1;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;kWh (Net CV);kgCO2e;0,19917;"call _emissionsRefInsert('Fuels','Gaseous fuels','Other petroleum gas','kWh (Net CV)','kgCO2e','Scope 1','0,19917', '1_100_1006_7_1');";;
1_100_1006_7_2;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;kWh (Net CV);kg CO2e of CO2 per unit;0,19897;"call _emissionsRefInsert('Gaseous fuels Other petroleum gas','Fuels','kWh (Net CV)','1_100_1006_7_3');";;
1_100_1006_7_3;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;kWh (Net CV);kg CO2e of CH4 per unit;0,00010;"call _emissionsRefInsert('Gaseous fuels Other petroleum gas','Fuels','kWh (Net CV)','1_100_1006_7_4');";;
1_100_1006_7_4;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;kWh (Net CV);kg CO2e of N2O per unit;0,00010;"call _emissionsRefInsert('Gaseous fuels Other petroleum gas','Fuels','kWh (Gross CV)','1_100_1006_6_1');";;
1_100_1006_6_1;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;kWh (Gross CV);kgCO2e;0,18323;"call _emissionsRefInsert('Fuels','Gaseous fuels','Other petroleum gas','kWh (Gross CV)','kgCO2e','Scope 1','0,18323', '1_100_1006_6_1');";;
1_100_1006_6_2;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;kWh (Gross CV);kg CO2e of CO2 per unit;0,18305;"call _emissionsRefInsert('Gaseous fuels Other petroleum gas','Fuels','kWh (Gross CV)','1_100_1006_6_3');";;
1_100_1006_6_3;Scope 1;Fuels;Gaseous fuels;Other petroleum gas;;;kWh (Gross CV);kg CO2e of CH4 per unit;0,00009;"call _emissionsRefInsert('Gaseous fuels Other petroleum gas','Fuels','kWh (Gross CV)','1_100_1006_6_4');";;
